state,district,category,type,date,crimes,year
Johor,Batu Pahat,assault,all,2016-01-01,160,2016
Johor,Batu Pahat,assault,all,2017-01-01,123,2017
Johor,Batu Pahat,assault,all,2018-01-01,104,2018
Johor,Batu Pahat,assault,all,2019-01-01,139,2019
Johor,Batu Pahat,assault,all,2020-01-01,127,2020
Johor,Batu Pahat,assault,all,2021-01-01,60,2021
Johor,Batu Pahat,assault,all,2022-01-01,52,2022
Johor,Batu Pahat,assault,all,2023-01-01,88,2023
Johor,Batu Pahat,assault,causing_injury,2016-01-01,39,2016
Johor,Batu Pahat,assault,causing_injury,2017-01-01,41,2017
Johor,Batu Pahat,assault,causing_injury,2018-01-01,28,2018
Johor,Batu Pahat,assault,causing_injury,2019-01-01,41,2019
Johor,Batu Pahat,assault,causing_injury,2020-01-01,43,2020
Johor,Batu Pahat,assault,causing_injury,2021-01-01,22,2021
Johor,Batu Pahat,assault,causing_injury,2022-01-01,19,2022
Johor,Batu Pahat,assault,causing_injury,2023-01-01,22,2023
Johor,Batu Pahat,assault,murder,2016-01-01,6,2016
Johor,Batu Pahat,assault,murder,2017-01-01,0,2017
Johor,Batu Pahat,assault,murder,2018-01-01,3,2018
Johor,Batu Pahat,assault,murder,2019-01-01,3,2019
Johor,Batu Pahat,assault,murder,2020-01-01,3,2020
Johor,Batu Pahat,assault,murder,2021-01-01,0,2021
Johor,Batu Pahat,assault,murder,2022-01-01,3,2022
Johor,Batu Pahat,assault,murder,2023-01-01,4,2023
Johor,Batu Pahat,assault,rape,2016-01-01,29,2016
Johor,Batu Pahat,assault,rape,2017-01-01,23,2017
Johor,Batu Pahat,assault,rape,2018-01-01,13,2018
Johor,Batu Pahat,assault,rape,2019-01-01,29,2019
Johor,Batu Pahat,assault,rape,2020-01-01,16,2020
Johor,Batu Pahat,assault,rape,2021-01-01,18,2021
Johor,Batu Pahat,assault,rape,2022-01-01,13,2022
Johor,Batu Pahat,assault,rape,2023-01-01,19,2023
Johor,Batu Pahat,assault,robbery_gang_armed,2016-01-01,1,2016
Johor,Batu Pahat,assault,robbery_gang_armed,2017-01-01,0,2017
Johor,Batu Pahat,assault,robbery_gang_armed,2018-01-01,0,2018
Johor,Batu Pahat,assault,robbery_gang_armed,2019-01-01,0,2019
Johor,Batu Pahat,assault,robbery_gang_armed,2020-01-01,0,2020
Johor,Batu Pahat,assault,robbery_gang_armed,2021-01-01,0,2021
Johor,Batu Pahat,assault,robbery_gang_armed,2022-01-01,0,2022
Johor,Batu Pahat,assault,robbery_gang_armed,2023-01-01,0,2023
Johor,Batu Pahat,assault,robbery_gang_unarmed,2016-01-01,56,2016
Johor,Batu Pahat,assault,robbery_gang_unarmed,2017-01-01,47,2017
Johor,Batu Pahat,assault,robbery_gang_unarmed,2018-01-01,33,2018
Johor,Batu Pahat,assault,robbery_gang_unarmed,2019-01-01,37,2019
Johor,Batu Pahat,assault,robbery_gang_unarmed,2020-01-01,32,2020
Johor,Batu Pahat,assault,robbery_gang_unarmed,2021-01-01,9,2021
Johor,Batu Pahat,assault,robbery_gang_unarmed,2022-01-01,5,2022
Johor,Batu Pahat,assault,robbery_gang_unarmed,2023-01-01,16,2023
Johor,Batu Pahat,assault,robbery_solo_armed,2016-01-01,1,2016
Johor,Batu Pahat,assault,robbery_solo_armed,2017-01-01,0,2017
Johor,Batu Pahat,assault,robbery_solo_armed,2018-01-01,0,2018
Johor,Batu Pahat,assault,robbery_solo_armed,2019-01-01,0,2019
Johor,Batu Pahat,assault,robbery_solo_armed,2020-01-01,0,2020
Johor,Batu Pahat,assault,robbery_solo_armed,2021-01-01,0,2021
Johor,Batu Pahat,assault,robbery_solo_armed,2022-01-01,0,2022
Johor,Batu Pahat,assault,robbery_solo_armed,2023-01-01,0,2023
Johor,Batu Pahat,assault,robbery_solo_unarmed,2016-01-01,28,2016
Johor,Batu Pahat,assault,robbery_solo_unarmed,2017-01-01,12,2017
Johor,Batu Pahat,assault,robbery_solo_unarmed,2018-01-01,27,2018
Johor,Batu Pahat,assault,robbery_solo_unarmed,2019-01-01,29,2019
Johor,Batu Pahat,assault,robbery_solo_unarmed,2020-01-01,33,2020
Johor,Batu Pahat,assault,robbery_solo_unarmed,2021-01-01,11,2021
Johor,Batu Pahat,assault,robbery_solo_unarmed,2022-01-01,12,2022
Johor,Batu Pahat,assault,robbery_solo_unarmed,2023-01-01,27,2023
Johor,Batu Pahat,property,all,2016-01-01,621,2016
Johor,Batu Pahat,property,all,2017-01-01,558,2017
Johor,Batu Pahat,property,all,2018-01-01,584,2018
Johor,Batu Pahat,property,all,2019-01-01,524,2019
Johor,Batu Pahat,property,all,2020-01-01,415,2020
