state,district,category,type,date,crimes,year,crimes_prev_year,yoy_change,yoy_change_pct
Johor,Batu Pahat,property,all,2016-01-01,621,2016,,,
Johor,Batu Pahat,property,all,2017-01-01,558,2017,621.0,-63.0,-10.14
Johor,Batu Pahat,property,all,2018-01-01,584,2018,558.0,26.0,4.66
Johor,Batu Pahat,property,all,2019-01-01,524,2019,584.0,-60.0,-10.27
Johor,Batu Pahat,property,all,2020-01-01,415,2020,524.0,-109.0,-20.8
Johor,Batu Pahat,property,all,2021-01-01,200,2021,415.0,-215.0,-51.81
Johor,Batu Pahat,property,all,2022-01-01,262,2022,200.0,62.0,31.0
Johor,Batu Pahat,property,all,2023-01-01,285,2023,262.0,23.0,8.78
Johor,Iskandar Puteri,property,all,2016-01-01,0,2016,,,
Johor,Iskandar Puteri,property,all,2017-01-01,727,2017,0.0,727.0,
Johor,Iskandar Puteri,property,all,2018-01-01,784,2018,727.0,57.0,7.84
Johor,Iskandar Puteri,property,all,2019-01-01,784,2019,784.0,0.0,0.0
Johor,Iskandar Puteri,property,all,2020-01-01,538,2020,784.0,-246.0,-31.38
Johor,Iskandar Puteri,property,all,2021-01-01,332,2021,538.0,-206.0,-38.29
Johor,Iskandar Puteri,property,all,2022-01-01,356,2022,332.0,24.0,7.23
Johor,Iskandar Puteri,property,all,2023-01-01,448,2023,356.0,92.0,25.84
Johor,Johor Bahru Selatan,property,all,2016-01-01,2802,2016,,,
Johor,Johor Bahru Selatan,property,all,2017-01-01,2275,2017,2802.0,-527.0,-18.81
Johor,Johor Bahru Selatan,property,all,2018-01-01,2042,2018,2275.0,-233.0,-10.24
Johor,Johor Bahru Selatan,property,all,2019-01-01,1766,2019,2042.0,-276.0,-13.52
Johor,Johor Bahru Selatan,property,all,2020-01-01,1265,2020,1766.0,-501.0,-28.37
Johor,Johor Bahru Selatan,property,all,2021-01-01,609,2021,1265.0,-656.0,-51.86
Johor,Johor Bahru Selatan,property,all,2022-01-01,733,2022,609.0,124.0,20.36
Johor,Johor Bahru Selatan,property,all,2023-01-01,853,2023,733.0,120.0,16.37
Johor,Johor Bahru Utara,property,all,2016-01-01,1628,2016,,,
Johor,Johor Bahru Utara,property,all,2017-01-01,1237,2017,1628.0,-391.0,-24.02
Johor,Johor Bahru Utara,property,all,2018-01-01,1306,2018,1237.0,69.0,5.58
Johor,Johor Bahru Utara,property,all,2019-01-01,1144,2019,1306.0,-162.0,-12.4
Johor,Johor Bahru Utara,property,all,2020-01-01,760,2020,1144.0,-384.0,-33.57
Johor,Johor Bahru Utara,property,all,2021-01-01,385,2021,760.0,-375.0,-49.34
Johor,Johor Bahru Utara,property,all,2022-01-01,354,2022,385.0,-31.0,-8.05
Johor,Johor Bahru Utara,property,all,2023-01-01,387,2023,354.0,33.0,9.32
Johor,Kluang,property,all,2016-01-01,526,2016,,,
Johor,Kluang,property,all,2017-01-01,535,2017,526.0,9.0,1.71
Johor,Kluang,property,all,2018-01-01,477,2018,535.0,-58.0,-10.84
Johor,Kluang,property,all,2019-01-01,458,2019,477.0,-19.0,-3.98
Johor,Kluang,property,all,2020-01-01,404,2020,458.0,-54.0,-11.79
Johor,Kluang,property,all,2021-01-01,221,2021,404.0,-183.0,-45.3
Johor,Kluang,property,all,2022-01-01,204,2022,221.0,-17.0,-7.69
Johor,Kluang,property,all,2023-01-01,294,2023,204.0,90.0,44.12
Johor,Kota Tinggi,property,all,2016-01-01,456,2016,,,
Johor,Kota Tinggi,property,all,2017-01-01,494,2017,456.0,38.0,8.33
Johor,Kota Tinggi,property,all,2018-01-01,475,2018,494.0,-19.0,-3.85
Johor,Kota Tinggi,property,all,2019-01-01,401,2019,475.0,-74.0,-15.58
