state,district,total_crimes,avg_crimes,std_crimes,min_crimes,max_crimes,crime_range,coefficient_variation,avg_first_half,avg_second_half,trend_direction,avg_annual_crimes,risk_level
Johor,Batu Pahat,3449,431.125,163.78595570351652,200,621,421,37.99,540.4,249.0,Decreasing,431.0,Medium-High
Johor,Iskandar Puteri,3969,496.125,271.45872482886654,0,784,784,54.72,566.6,378.6666666666667,Decreasing,496.0,High
Johor,Johor Bahru Selatan,12345,1543.125,801.9151072811351,609,2802,2193,51.97,2030.0,731.6666666666666,Decreasing,1543.0,High
Johor,Johor Bahru Utara,7201,900.125,494.8354524485892,354,1628,1274,54.97,1215.0,375.3333333333333,Decreasing,900.0,High
Johor,Kluang,3119,389.875,133.2467501613883,204,535,331,34.18,480.0,239.66666666666666,Decreasing,390.0,Medium-High
Johor,Kota Tinggi,2758,344.75,136.19287793420037,169,494,325,39.5,438.8,188.0,Decreasing,345.0,Medium-High
Johor,Kulaijaya,3208,401.0,181.45837775408128,211,617,406,45.25,513.4,213.66666666666666,Decreasing,401.0,Medium-High
Johor,Ledang,1171,146.375,57.39322384094783,71,220,149,39.21,184.6,82.66666666666667,Decreasing,146.0,Medium-Low
Johor,Mersing,717,89.625,22.89689623383171,63,120,57,25.55,102.6,68.0,Decreasing,90.0,Medium-Low
Johor,Muar,1802,225.25,41.69874955302275,171,298,127,18.51,244.8,192.66666666666666,Decreasing,225.0,Medium-High
Johor,Nusajaya,792,99.0,278.40002052545077,0,788,788,281.21,158.2,0.3333333333333333,Decreasing,99.0,Medium-Low
Johor,Pontian,1456,182.0,63.29522663112689,86,247,161,34.78,216.8,124.0,Decreasing,182.0,Medium-High
Johor,Segamat,1852,231.5,79.23202815600699,124,325,201,34.23,285.0,142.33333333333334,Decreasing,232.0,Medium-High
Johor,Seri Alam,8413,1051.625,321.8291194762481,649,1528,879,30.6,1268.0,691.0,Decreasing,1052.0,High
Kedah,Baling,2033,254.125,57.50139749854533,165,351,186,22.63,268.6,230.0,Decreasing,254.0,Medium-High
Kedah,Bandar Baharu,130,32.5,3.696845502136472,30,38,8,11.37,31.0,33.0,Increasing,16.0,Low
Kedah,Bandar Bharu,204,51.0,5.354126134736338,44,57,13,10.5,51.0,,Decreasing,26.0,Low
Kedah,Kota Setar,8906,1113.25,298.90645932895364,750,1649,899,26.85,1231.6,916.0,Decreasing,1113.0,High
Kedah,Kuala Muda,10749,1343.625,307.4912019647299,989,1705,716,22.89,1506.4,1072.3333333333333,Decreasing,1344.0,High
Kedah,Kubang Pasu,3509,438.625,161.89673737116684,248,674,426,36.91,520.0,303.0,Decreasing,439.0,Medium-High
Kedah,Kulim,4842,605.25,200.77617246220086,398,909,511,33.17,696.0,454.0,Decreasing,605.0,High
Kedah,Langkawi,2319,289.875,77.66123780331382,200,388,188,26.79,340.6,205.33333333333334,Decreasing,290.0,Medium-High
Kedah,Padang Terap,627,78.375,16.132819255878903,57,100,43,20.58,80.0,75.66666666666667,Decreasing,78.0,Medium-Low
Kedah,Pendang,1438,179.75,29.29041774076586,118,208,90,16.3,196.0,152.66666666666666,Decreasing,180.0,Medium-High
Kedah,Sik,415,51.875,18.04310315407445,26,86,60,34.78,59.6,39.0,Decreasing,52.0,Low
Kedah,Yan,831,103.875,26.33540528316531,70,142,72,25.35,120.4,76.33333333333333,Decreasing,104.0,Medium-Low
Kelantan,Bachok,1547,193.375,57.033668001578555,127,290,163,29.49,223.2,143.66666666666666,Decreasing,193.0,Medium-High
Kelantan,Gua Musang,932,116.5,42.938494218059,70,192,122,36.86,136.4,83.33333333333333,Decreasing,116.0,Medium-Low
Kelantan,Jeli,297,37.125,7.219764539096826,24,45,21,19.45,40.2,32.0,Decreasing,37.0,Low
Kelantan,Kota Bharu,9246,1155.75,481.317462803917,667,1812,1145,41.65,1434.2,691.6666666666666,Decreasing,1156.0,High
Kelantan,Kuala Krai,936,117.0,71.73960850584166,38,210,172,61.32,160.2,45.0,Decreasing,117.0,Medium-Low
Kelantan,Machang,1341,167.625,85.36465896376558,90,351,261,50.93,207.8,100.66666666666667,Decreasing,168.0,Medium-Low
Kelantan,Pasir Mas,2029,253.625,159.14408341410086,91,446,355,62.75,348.8,95.0,Decreasing,254.0,Medium-High
Kelantan,Pasir Puteh,1982,247.75,85.37940534545116,135,342,207,34.46,300.2,160.33333333333334,Decreasing,248.0,Medium-High
Kelantan,Tanah Merah,1347,168.375,43.62809546938434,102,236,134,25.91,185.4,140.0,Decreasing,168.0,Medium-Low
Kelantan,Tumpat,1799,224.875,61.98026759726495,152,309,157,27.56,264.2,159.33333333333334,Decreasing,225.0,Medium-High
Melaka,Alor Gajah,1982,247.75,50.400538545875534,181,321,140,20.34,272.0,207.33333333333334,Decreasing,248.0,Medium-High
Melaka,Jasin,1309,163.625,34.71491034123522,119,198,79,21.22,182.2,132.66666666666666,Decreasing,164.0,Medium-Low
Melaka,Melaka Tengah,10361,1295.125,539.0068744592093,699,1991,1292,41.62,1640.4,719.6666666666666,Decreasing,1295.0,High
Negeri Sembilan,Jelebu,393,49.125,12.380139625337717,28,67,39,25.2,53.4,42.0,Decreasing,49.0,Low
Negeri Sembilan,Jempol,1301,162.625,30.07104682485891,122,211,89,18.49,179.6,134.33333333333334,Decreasing,163.0,Medium-Low
Negeri Sembilan,Kuala Pilah,1154,144.25,50.41754229857472,83,224,141,34.95,174.2,94.33333333333333,Decreasing,144.0,Medium-Low
Negeri Sembilan,Nilai,4638,579.75,258.2655056885673,276,893,617,44.55,747.8,299.6666666666667,Decreasing,580.0,High
Negeri Sembilan,Port Dickson,1877,234.625,51.23318539495945,164,292,128,21.84,266.8,181.0,Decreasing,235.0,Medium-High
Negeri Sembilan,Rembau,691,86.375,43.02138172716313,44,139,95,49.81,108.2,50.0,Decreasing,86.0,Medium-Low
Negeri Sembilan,Seremban,6939,867.375,330.0294088627341,502,1355,853,38.05,1058.2,549.3333333333334,Decreasing,867.0,High
Negeri Sembilan,Tampin,1066,133.25,57.97474819756812,54,231,177,43.51,167.0,77.0,Decreasing,133.0,Medium-Low
Pahang,Bentong,2296,287.0,127.15569758595733,133,481,348,44.31,356.6,171.0,Decreasing,287.0,Medium-High
Pahang,Bera,817,102.125,21.62959282358976,89,153,64,21.18,108.8,91.0,Decreasing,102.0,Medium-Low
Pahang,Cameron Highland,204,51.0,11.775681155103795,39,63,24,23.09,51.0,,Decreasing,26.0,Low
Pahang,Cameron Highlands,107,26.75,6.551081335677848,17,31,14,24.49,29.0,26.0,Decreasing,13.0,Low
Pahang,Jerantut,1024,128.0,36.687872655688295,83,176,93,28.66,150.4,90.66666666666667,Decreasing,128.0,Medium-Low
